ncessch,name,state_code,latitude,longitude,zip_code,city,address,school_type,school_type_text,total_students,total_09,total_10,total_11,total_12,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,free_reduced_lunch
A0101860,CALVARY CHRISTIAN HIGH SCHOOL,FL,27.96633,-82.711161,33759,CLEARWATER,110 N MCMULLEN BOOTH RD A,1,Regular elementary or secondary,465,137,129,106,93,279,28,57,57,1,0,43,0
A0101985,GRANDVIEW PREPARATORY SCHOOL,FL,26.38492,-80.089211,33431,BOCA RATON,336 NW SPANISH RIVER BLVD,1,Regular elementary or secondary,215,26,24,16,17,150,20,42,3,0,0,0,0
A0102027,HARVEST COMMUNITY SCHOOL,FL,30.3062,-81.528091,32246,JACKSONVILLE,2360 SAINT JOHNS BLUFF RD S # 1,1,Regular elementary or secondary,281,36,29,28,19,235,17,15,7,3,4,0,0
A0102067,INVERNESS CHRISTIAN ACADEMY,FL,28.80063,-82.310461,34450,INVERNESS,4222 S FLORIDA AVE,1,Regular elementary or secondary,203,19,18,17,16,144,6,10,19,2,15,7,0
A0102158,VICTORY CHRISTIAN ACADEMY,FL,28.08086,-81.978401,33810,LAKELAND,1401 GRIFFIN RD,1,Regular elementary or secondary,464,38,39,32,35,268,104,57,14,0,0,21,0
A0102514,RASG HEBREW ACADEMY,FL,25.8026,-80.129821,33140,MIAMI BEACH,2400 PINE TREE DR,1,Regular elementary or secondary,463,47,28,34,33,400,2,57,4,0,0,0,0
A0102647,THE CONRAD ACADEMY,FL,28.57392,-81.288661,32867,ORLANDO,PO BOX 678207,1,Regular elementary or secondary,347,35,31,30,37,18,25,302,1,1,0,0,0
A0102682,THE CRENSHAW SCHOOL,FL,28.53298,-81.523981,34786,WINDERMERE,PO BOX 1159,1,Regular elementary or secondary,130,20,8,7,16,51,57,1,15,4,1,1,0
A0102706,NORTH BROWARD PREPARATORY SCHOOL,FL,26.32721,-80.185931,33073,COCONUT CREEK,7600 LYONS RD,1,Regular elementary or secondary,1531,211,220,252,215,1444,18,51,18,0,0,0,0
A0102707,IMG ACADEMY,FL,27.441113,-82.608111,34210,BRADENTON,5500 34TH ST W,1,Regular elementary or secondary,784,72,152,206,217,339,63,137,237,6,2,0,0
A0102757,TRINITAS CHRISTIAN SCHOOL,FL,30.51629,-87.197961,32514,PENSACOLA,3301 E JOHNSON AVE,1,Regular elementary or secondary,177,12,11,10,28,165,8,2,2,0,0,0,0
A0102835,WINDEMERE PREPARATORY SCHOOL,FL,28.477293,-81.570071,34786,WINDERMERE,6189 WINTER GARDEN VINELAND ROAD,1,Regular elementary or secondary,1290,135,134,126,142,979,62,78,69,33,26,43,0
A0102860,ATLANTA GIRLS SCHOOL,GA,33.8426,-84.424071,30327,ATLANTA,3254 NORTHSIDE PKWY NW,1,Regular elementary or secondary,246,36,29,34,23,155,61,5,13,0,0,12,0
A0102862,BETHESDA ACADEMY,GA,31.958837,-81.094721,31406,SAVANNAH,9520 FERGUSON AVE,1,Regular elementary or secondary,122,21,22,23,20,33,89,0,0,0,0,0,0
A0102864,BLESSED TRINITY CATHOLIC HIGH SCHOOL,GA,34.0562994,-84.3845021,30075,ROSWELL,11320 WOODSTOCK RD,1,Regular elementary or secondary,978,257,252,243,226,824,17,80,29,1,0,27,0
A0102874,COMMUNITY CHRISTIAN SCHOOL,GA,33.48101,-84.227441,30281,STOCKBRIDGE,2001 JODECO RD,1,Regular elementary or secondary,608,26,53,43,46,288,232,13,31,0,0,44,0
A0102881,EATON ACADEMY,GA,34.03359,-84.337001,30076,ROSWELL,1000 OLD ROSWELL LAKES PKWY STE 110,1,Regular elementary or secondary,66,3,7,14,11,56,5,3,2,0,0,0,0
A0102889,FIRST PRESBYTERIAN DAY SCHOOL,GA,32.87266,-83.749561,31210,MACON,5671 CALVIN DR,1,Regular elementary or secondary,919,98,101,94,97,831,56,9,16,0,0,7,0
A0102895,GREATER ATLANTA ADVENTIST ACADEMY,GA,33.76522,-84.469141,30318,ATLANTA,401 HAMILTON E HOLMES DR NW,1,Regular elementary or secondary,117,26,30,29,32,0,115,0,0,0,0,2,0
A0102904,HORIZON CHRISTIAN ACADEMY,GA,34.24304,-84.092901,30028,CUMMING,PO BOX 2715,1,Regular elementary or secondary,193,21,21,22,18,165,2,0,26,0,0,0,0
A0102910,KING'S WAY CHRISTIAN SCHOOL,GA,33.65992,-84.785771,30135,DOUGLASVILLE,6456 THE KINGS WAY,1,Regular elementary or secondary,181,19,14,13,13,147,12,12,7,0,0,3,0
